PosID,Source,Dice,PosID2,Target,pool,player ,Remarks
C13-處分 : P79-革留,革留,賍,C13-處分 : P80-嚴議,嚴議,0,0,
C13-處分 : P80-嚴議,嚴議,德,C13-處分 : P78-交部,交部,0,0,
C13-處分 : P80-嚴議,嚴議,賍,C13-處分 : P81-軍臺,軍臺,0,0,
C13-處分 : P80-嚴議,嚴議,才,C13-處分 : P79-革留,革留,0,0,
C13-處分 : P81-軍臺,軍臺,才,C13-處分 : P80-嚴議,嚴議,0,0,
C13-處分 : P81-軍臺,軍臺,德,C13-處分 : P79-革留,革留,0,0,
C38-鑾儀衛 : P238-鑾儀使,鑾儀使,柔,C38-鑾儀衛 : P238-鑾儀使,鑾儀使,0,0,
C38-鑾儀衛 : P238-鑾儀使,鑾儀使,良,C38-鑾儀衛 : P238-鑾儀使,鑾儀使,0,0,
C3-學院 : P22-學政,學政,柔,C3-學院 : P22-學政,學政,0,0,Commissions
C4-鄉試 : P34-主考,鄉試主考,柔,C4-鄉試 : P34-主考,鄉試主考,0,0,
C4-鄉試 : P35-同考,鄉試同考,柔,C4-鄉試 : P35-同考,鄉試同考,0,0,
C56-翰林院 : P339-教習庶吉士,教習庶吉士,功,C64-特恩 : P410-珍賞,珍賞,20,0,
C56-翰林院 : P339-教習庶吉士,教習庶吉士,良,C64-特恩 : P408-賜裘,賜裘,20,0,
C56-翰林院 : P340-掌院學士,掌院學士,功,C64-特恩 : P410-珍賞,珍賞,20,0,
C56-翰林院 : P340-掌院學士,掌院學士,良,C64-特恩 : P408-賜裘,賜裘,20,0,
C58-欽差 : P361-軍略大臣,軍略大臣,才,C63-封典 : P397-男爵,男爵,50,10,
C58-欽差 : P361-軍略大臣,軍略大臣,功,C64-特恩 : P408-賜裘,賜裘,20,0,
C59-兼銜 : P364-大學士管部,大學士管部,柔,C64-特恩 : P410-珍賞,珍賞,20,0,
C59-兼銜 : P364-大學士管部,大學士管部,良,C64-特恩 : P410-珍賞,珍賞,20,0,
C5-會試 : P41-總裁,會試總裁,柔,C5-會試 : P41-總裁,會試總裁,0,0,
C5-會試 : P42-同考,會試同考,柔,C5-會試 : P42-同考,會試同考,0,0,
C60-宮銜 : P371-太傅,太傅,功,C60-宮銜 : P370-太師,太師,50,20,
C60-宮銜 : P372-太保,太保,才,C60-宮銜 : P371-太傅,太傅,40,,
C60-宮銜 : P372-太保,太保,功,C64-特恩 : P409-賜宴,賜宴,20,,
C60-宮銜 : P373-少師,少師,才,C60-宮銜 : P372-太保,太保,35,,
C60-宮銜 : P373-少師,少師,功,C64-特恩 : P409-賜宴,賜宴,20,,
C60-宮銜 : P374-少傅,少傅,才,C60-宮銜 : P373-少師,少師,30,,
C60-宮銜 : P374-少傅,少傅,功,C64-特恩 : P404-紅絨結帽頂,紅絨結帽頂,20,,
C60-宮銜 : P375-少保,少保,才,C60-宮銜 : P374-少傅,少傅,25,,
C60-宮銜 : P375-少保,少保,功,C64-特恩 : P406-紫韁,紫韁,20,,
C60-宮銜 : P376-太子太師,太子太師,才,C60-宮銜 : P375-少保,少保,20,,
C60-宮銜 : P376-太子太師,太子太師,功,C64-特恩 : P405-紫禁城騎馬,紫禁城騎馬,20,,
C60-宮銜 : P377-太子太傅,太子太傅,才,C60-宮銜 : P376-太子太師,太子太師,15,,
C60-宮銜 : P377-太子太傅,太子太傅,功,C64-特恩 : P407-賜第,賜第,20,,
C60-宮銜 : P378-太子太保,太子太保,才,C60-宮銜 : P377-太子太傅,太子太傅,10,,
C60-宮銜 : P378-太子太保,太子太保,功,C64-特恩 : P410-珍賞,珍賞,20,,
C60-宮銜 : P379-太子少師,太子少師,才,C60-宮銜 : P378-太子太保,太子太保,5,,
C60-宮銜 : P379-太子少師,太子少師,德,C60-宮銜 : P377-太子太傅,太子太傅,10,,
C60-宮銜 : P379-太子少師,太子少師,功,C64-特恩 : P410-珍賞,珍賞,20,,
C60-宮銜 : P380-太子少傅,太子少傅,德,C60-宮銜 : P378-太子太保,太子太保,5,,
C60-宮銜 : P380-太子少傅,太子少傅,才,C60-宮銜 : P379-太子少師,太子少師,,,
C60-宮銜 : P380-太子少傅,太子少傅,功,C64-特恩 : P410-珍賞,珍賞,20,,
C60-宮銜 : P381-太子少保,太子少保,德,C60-宮銜 : P378-太子太保,太子太保,5,,
C60-宮銜 : P381-太子少保,太子少保,功,C60-宮銜 : P380-太子少傅,太子少傅,,,
C60-宮銜 : P381-太子少保,太子少保,才,C60-宮銜 : P379-太子少師,太子少師,,,
C61-內廷 : P382-經筵講官,經筵講官,良,C64-特恩 : P408-賜裘,賜裘,20,0,
C61-內廷 : P382-經筵講官,經筵講官,功,C60-宮銜 : P380-太子少傅,太子少傅,0,0,"wrongly in comperfrels3, add manually to db"
C61-內廷 : P383-南書房,南書房,良,C64-特恩 : P408-賜裘,賜裘,20,0,
C61-內廷 : P383-南書房,南書房,功,C60-宮銜 : P380-太子少傅,太子少傅,0,0,
C61-內廷 : P384-上書房,上書房,良,C64-特恩 : P408-賜裘,賜裘,20,0,
C61-內廷 : P384-上書房,上書房,功,C60-宮銜 : P379-太子少師,太子少師,0,0,
C63-封典 : P392-王爵,王爵,柔,C64-特恩 : P402-紫錦墊,紫錦墊,20,0,
C63-封典 : P392-王爵,王爵,良,C64-特恩 : P402-紫錦墊,紫錦墊,20,0,
C63-封典 : P392-王爵,王爵,功,C64-特恩 : P403-雙眼翎,雙眼翎,20,0,
C63-封典 : P393-公爵,公爵,柔,C64-特恩 : P402-紫錦墊,紫錦墊,20,0,
C63-封典 : P393-公爵,公爵,良,C64-特恩 : P402-紫錦墊,紫錦墊,20,0,
C63-封典 : P393-公爵,公爵,功,C64-特恩 : P403-雙眼翎,雙眼翎,20,0,
C63-封典 : P394-侯爵,侯爵,柔,C64-特恩 : P402-紫錦墊,紫錦墊,20,0,
C63-封典 : P394-侯爵,侯爵,良,C64-特恩 : P402-紫錦墊,紫錦墊,20,0,
C63-封典 : P394-侯爵,侯爵,功,C64-特恩 : P403-雙眼翎,雙眼翎,20,0,
C63-封典 : P396-子爵,子爵,才,C63-封典 : P395-伯爵,伯爵,70,10,
C63-封典 : P396-子爵,子爵,良,C64-特恩 : P400-團龍褂,團龍褂,30,0,
C63-封典 : P396-子爵,子爵,功,C64-特恩 : P401-開氣袍,開氣袍,30,0,
C63-封典 : P397-男爵,男爵,良,C64-特恩 : P400-團龍褂,團龍褂,30,0,
C63-封典 : P397-男爵,男爵,才,C63-封典 : P396-子爵,子爵,50,10,
C63-封典 : P397-男爵,男爵,功,C64-特恩 : P401-開氣袍,開氣袍,30,0,
C64-特恩 : P399-三眼翎,三眼翎,功,C64-特恩 : P398-寶石頂,寶石頂,50,0,
C64-特恩 : P400-團龍褂,團龍褂,才,C64-特恩 : P399-三眼翎,三眼翎,30,0,
C64-特恩 : P401-開氣袍,開氣袍,功,C64-特恩 : P400-團龍褂,團龍褂,30,0,
C64-特恩 : P401-開氣袍,開氣袍,才,C64-特恩 : P400-團龍褂,團龍褂,30,0,
C64-特恩 : P402-紫錦墊,紫錦墊,功,C64-特恩 : P401-開氣袍,開氣袍,30,0,
C64-特恩 : P402-紫錦墊,紫錦墊,才,C64-特恩 : P401-開氣袍,開氣袍,30,0,
C64-特恩 : P403-雙眼翎,雙眼翎,功,C64-特恩 : P402-紫錦墊,紫錦墊,20,0,
C64-特恩 : P403-雙眼翎,雙眼翎,才,C64-特恩 : P402-紫錦墊,紫錦墊,20,0,
C64-特恩 : P404-紅絨結帽頂,紅絨結帽頂,功,C64-特恩 : P405-紫禁城騎馬,紫禁城騎馬,20,0,
C64-特恩 : P405-紫禁城騎馬,紫禁城騎馬,功,C64-特恩 : P410-珍賞,珍賞,20,0,
C64-特恩 : P406-紫韁,紫韁,功,C64-特恩 : P407-賜第,賜第,20,0,
C64-特恩 : P407-賜第,賜第,功,C64-特恩 : P408-賜裘,賜裘,20,0,
C64-特恩 : P410-珍賞,珍賞,功,C64-特恩 : P411-黃馬褂,黃馬褂,20,0,
C9-軍功 : P58-一品二品,一品二品軍功,才,C64-特恩 : P412-世襲,世襲,20,0,
C9-軍功 : P58-一品二品,一品二品軍功,功,C64-特恩 : P410-珍賞,珍賞,20,0,
C9-軍功 : P58-一品二品,一品二品軍功,德,C64-特恩 : P413-花翎,花翎,20,0,
C9-軍功 : P58-一品二品,一品二品軍功,柔,C12-大計 : P73-議叙,議叙,0,0,
C9-軍功 : P58-一品二品,一品二品軍功,良,C12-大計 : P73-議叙,議叙,0,0,
C9-軍功 : P59-三品至五品,三品至五品軍功,才,C12-大計 : P71-保陞,保陞,20,0,
C9-軍功 : P59-三品至五品,三品至五品軍功,功,C12-大計 : P72-加銜,加銜,0,0,
C9-軍功 : P59-三品至五品,三品至五品軍功,德,C64-特恩 : P413-花翎,花翎,20,0,
C9-軍功 : P59-三品至五品,三品至五品軍功,柔,C12-大計 : P73-議叙,議叙,0,0,
C9-軍功 : P59-三品至五品,三品至五品軍功,良,C12-大計 : P73-議叙,議叙,0,0,
C9-軍功 : P60-六品以下,六品以下軍功,才,C12-大計 : P71-保陞,保陞,0,0,
C9-軍功 : P60-六品以下,六品以下軍功,德,C12-大計 : P70-內記名,內記名,0,0,
C9-軍功 : P60-六品以下,六品以下軍功,功,C12-大計 : P72-加銜,加銜,0,0,
C9-軍功 : P60-六品以下,六品以下軍功,柔,C12-大計 : P73-議叙,議叙,0,0,
C9-軍功 : P60-六品以下,六品以下軍功,良,C12-大計 : P73-議叙,議叙,0,0,
C9-軍功 : P61-巴圖鲁,巴圖鲁,德,C64-特恩 : P412-世襲,世襲,20,0,
C9-軍功 : P62-藍翎,藍翎,德,C64-特恩 : P413-花翎,花翎,20,0,
