SourceID,Luck,TargetID,Target,pool,player,Remarks
C34-兵部 : P208-右侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C34-兵部 : P208-右侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C34-兵部 : P208-右侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C34-兵部 : P208-右侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C34-兵部 : P209-郎中,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C34-兵部 : P210-員外,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C34-兵部 : P211-主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C35-禮部 : P213-尚書,全色1,C63-封典 : P397-男爵,男爵,50,10,
C35-禮部 : P213-尚書,全色2,C63-封典 : P396-子爵,子爵,50,10,
C35-禮部 : P213-尚書,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C35-禮部 : P213-尚書,全色4,C63-封典 : P392-王爵,王爵,120,10,
C35-禮部 : P213-尚書,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C35-禮部 : P213-尚書,全色6,C63-封典 : P393-公爵,公爵,100,10,
C35-禮部 : P213-尚書,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C35-禮部 : P214-左侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C35-禮部 : P214-左侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C35-禮部 : P214-左侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C35-禮部 : P214-左侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C35-禮部 : P214-左侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C35-禮部 : P214-左侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C35-禮部 : P214-左侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C35-禮部 : P215-右侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C35-禮部 : P215-右侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C35-禮部 : P215-右侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C35-禮部 : P215-右侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C35-禮部 : P215-右侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C35-禮部 : P215-右侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C35-禮部 : P215-右侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C35-禮部 : P216-郎中,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C35-禮部 : P217-員外,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C35-禮部 : P218-主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C36-戶部 : P223-尚書,全色1,C63-封典 : P397-男爵,男爵,50,10,
C36-戶部 : P223-尚書,全色2,C63-封典 : P396-子爵,子爵,50,10,
C36-戶部 : P223-尚書,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C36-戶部 : P223-尚書,全色4,C63-封典 : P392-王爵,王爵,120,10,
C36-戶部 : P223-尚書,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C36-戶部 : P223-尚書,全色6,C63-封典 : P393-公爵,公爵,100,10,
C36-戶部 : P223-尚書,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C36-戶部 : P224-左侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C36-戶部 : P224-左侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C36-戶部 : P224-左侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C36-戶部 : P224-左侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C36-戶部 : P224-左侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C36-戶部 : P224-左侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C36-戶部 : P224-左侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C36-戶部 : P225-右侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C36-戶部 : P225-右侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C36-戶部 : P225-右侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C36-戶部 : P225-右侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C36-戶部 : P225-右侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C36-戶部 : P225-右侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C36-戶部 : P225-右侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C36-戶部 : P226-郎中,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C36-戶部 : P227-員外,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C36-戶部 : P228-主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C36-戶部 : P230-司庫,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C37-吏部 : P231-尚書,全色1,C63-封典 : P397-男爵,男爵,50,10,
C37-吏部 : P231-尚書,全色2,C63-封典 : P396-子爵,子爵,50,10,
C37-吏部 : P231-尚書,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C37-吏部 : P231-尚書,全色4,C63-封典 : P392-王爵,王爵,120,10,
C37-吏部 : P231-尚書,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C37-吏部 : P231-尚書,全色6,C63-封典 : P393-公爵,公爵,100,10,
C37-吏部 : P231-尚書,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C37-吏部 : P232-左侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C37-吏部 : P232-左侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C37-吏部 : P232-左侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C37-吏部 : P232-左侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C37-吏部 : P232-左侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C37-吏部 : P232-左侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C37-吏部 : P232-左侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C37-吏部 : P233-右侍郎,全色1,C63-封典 : P397-男爵,男爵,50,10,
C37-吏部 : P233-右侍郎,全色2,C63-封典 : P396-子爵,子爵,50,10,
C37-吏部 : P233-右侍郎,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C37-吏部 : P233-右侍郎,全色4,C63-封典 : P392-王爵,王爵,120,10,
C37-吏部 : P233-右侍郎,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C37-吏部 : P233-右侍郎,全色6,C63-封典 : P393-公爵,公爵,100,10,
C37-吏部 : P233-右侍郎,穿花,C9-軍功 : P58-一品二品,一品二品軍功,,,
C37-吏部 : P234-郎中,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C37-吏部 : P235-員外,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C37-吏部 : P236-主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C38-鑾儀衛 : P239-主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C38-鑾儀衛 : P240-經歷,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C39-太醫院 : P241-院使,穿花,C39-太醫院 : P241-院使,院使加級,,,
C39-太醫院 : P242-院判,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C39-太醫院 : P243-御醫,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C39-太醫院 : P244-八品吏目,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C39-太醫院 : P245-九品吏目,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C39-太醫院 : P246-醫士,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C3-學院 : P23-教授,穿花,C9-軍功 : P60-六品以下,六品以下軍功,0,,
C3-學院 : P24-學正,穿花,C9-軍功 : P60-六品以下,六品以下軍功,0,,
C3-學院 : P25-教諭,穿花,C9-軍功 : P60-六品以下,六品以下軍功,0,,
C3-學院 : P26-訓導,穿花,C9-軍功 : P60-六品以下,六品以下軍功,0,,
C40-欽天監 : P247-監正,穿花,C40-欽天監 : P247-監正,監正加級,,,
C40-欽天監 : P248-監副,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C40-欽天監 : P249-五官正,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C40-欽天監 : P250-靈臺郎,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C40-欽天監 : P251-主簿,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C40-欽天監 : P252-保章正,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C40-欽天監 : P253-挈壺,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C40-欽天監 : P254-五官監侯,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C40-欽天監 : P255-五官司書,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C40-欽天監 : P256-博士,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C41-國子監 : P258-祭酒,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C41-國子監 : P259-司業,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C41-國子監 : P260-監丞,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C41-國子監 : P261-博士,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C41-國子監 : P262-助教,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C41-國子監 : P263-學正,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C41-國子監 : P264-學錄,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C41-國子監 : P265-典簿,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C41-國子監 : P266-典籍,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C42-鴻臚寺 : P268-正卿,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C42-鴻臚寺 : P269-少卿,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C42-鴻臚寺 : P270-主簿,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C42-鴻臚寺 : P271-鳴贊,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C42-鴻臚寺 : P272-序班,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C43-光祿寺 : P273-正卿,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C43-光祿寺 : P274-少卿,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C43-光祿寺 : P275-署正,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C43-光祿寺 : P276-滿缺署丞,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C43-光祿寺 : P277-滿缺典簿,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C44-太僕寺 : P278-正卿,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C44-太僕寺 : P279-少卿,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C44-太僕寺 : P280-滿缺員外,穿花,C9-軍功 : P59-三品至五品,三品至五品軍功,,,
C44-太僕寺 : P281-滿缺主事,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
C44-太僕寺 : P282-滿缺主簿,穿花,C9-軍功 : P60-六品以下,六品以下軍功,,,
