Source,Dice,PosID,Target,pool,player,
C55-詹事府 : P331-右庶子,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C55-詹事府 : P333-左中允,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C55-詹事府 : P334-右中允,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C55-詹事府 : P335-左贊善,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C55-詹事府 : P336-右贊善,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C56-翰林院 : P342-侍講學士,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C56-翰林院 : P343-侍讀,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C56-翰林院 : P344-侍講,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C56-翰林院 : P345-修撰,柔,C11-大考 : P66-六品以上,六品以上大考,,,
C20-京府 : P131-通判,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C36-戶部 : P228-主事,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C36-戶部 : P230-司庫,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C41-國子監 : P260-監丞,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C41-國子監 : P261-博士,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C43-光祿寺 : P275-署正,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C44-太僕寺 : P281-滿缺主事,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C45-太常寺 : P286-博士,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C45-太常寺 : P287-典簿,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C46-大理寺 : P294-寺丞,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C46-大理寺 : P295-評事,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C47-通政司 : P299-經歷,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C47-通政司 : P300-知事,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C53-宗人府 : P325-主事,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C54-中書科 : P327-中書,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C56-翰林院 : P346-編修,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C56-翰林院 : P347-檢討,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C57-內閣 : P358-典籍,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C61-內廷 : P387-主事,柔,C10-京察 : P65-六品以下,六品以下京察,,,
C20-京府 : P128-府丞,功,C12-大計 : P74-加級,加級,,,
C21-各道 : P135-糧道,功,C12-大計 : P74-加級,加級,,,
C21-各道 : P137-巡道,功,C12-大計 : P74-加級,加級,,,
C22-按察司 : P140-按察使,功,C12-大計 : P74-加級,加級,,,
C22-按察司 : P142-知事,功,C12-大計 : P74-加級,加級,,,
C23-布政司 : P146-布政使,功,C12-大計 : P74-加級,加級,,,
C24-鹽院 : P153-運使,功,C12-大計 : P74-加級,加級,,,
C24-鹽院 : P154-運同,功,C12-大計 : P74-加級,加級,,,
C25-河院 : P162-河道,功,C12-大計 : P74-加級,加級,,,
C25-河院 : P163-同知,功,C12-大計 : P74-加級,加級,,,
C25-河院 : P169-巡檢,功,C12-大計 : P74-加級,加級,,,
C29-兵馬司 : P177-正揮,功,C12-大計 : P74-加級,加級,,,
C31-各部院 : P186-九品筆帖式,功,C12-大計 : P74-加級,加級,,,
C32-工部 : P195-主事,功,C12-大計 : P74-加級,加級,,,
C33-刑部 : P203-主事,功,C12-大計 : P74-加級,加級,,,
C34-兵部 : P211-主事,功,C12-大計 : P74-加級,加級,,,
C35-禮部 : P218-主事,功,C12-大計 : P74-加級,加級,,,
C37-吏部 : P236-主事,功,C12-大計 : P74-加級,加級,,,
C39-太醫院 : P242-院判,功,C12-大計 : P74-加級,加級,,,
C39-太醫院 : P243-御醫,功,C12-大計 : P74-加級,加級,,,
C39-太醫院 : P244-八品吏目,功,C12-大計 : P74-加級,加級,,,
C39-太醫院 : P245-九品吏目,功,C12-大計 : P74-加級,加級,,,
C39-太醫院 : P246-醫士,功,C12-大計 : P74-加級,加級,,,
C40-欽天監 : P250-靈臺郎,功,C12-大計 : P74-加級,加級,,,
C40-欽天監 : P251-主簿,功,C12-大計 : P74-加級,加級,,,
C40-欽天監 : P252-保章正,功,C12-大計 : P74-加級,加級,,,
C40-欽天監 : P255-五官司書,功,C12-大計 : P74-加級,加級,,,
C40-欽天監 : P257-司晨,功,C12-大計 : P74-加級,加級,,,
C41-國子監 : P258-祭酒,功,C12-大計 : P74-加級,加級,,,
C42-鴻臚寺 : P268-正卿,功,C12-大計 : P74-加級,加級,,,
C42-鴻臚寺 : P270-主簿,功,C12-大計 : P74-加級,加級,,,
C43-光祿寺 : P274-少卿,功,C12-大計 : P74-加級,加級,,,
C44-太僕寺 : P279-少卿,功,C12-大計 : P74-加級,加級,,,
C45-太常寺 : P284-少卿,功,C12-大計 : P74-加級,加級,,,
C45-太常寺 : P289-讀祝官,功,C12-大計 : P74-加級,加級,,,
C45-太常寺 : P290-贊禮郎,功,C12-大計 : P74-加級,加級,,,
C46-大理寺 : P293-少卿,功,C12-大計 : P74-加級,加級,,,
C47-通政司 : P297-副使,功,C12-大計 : P74-加級,加級,,,
C48-會同四譯館 : P302-郎中,功,C12-大計 : P74-加級,加級,,,
C48-會同四譯館 : P305-教正序班,功,C12-大計 : P74-加級,加級,,,
C51-理藩院 : P316-郎中,功,C12-大計 : P74-加級,加級,,,
C52-內務府 : P319-總管,功,C12-大計 : P74-加級,加級,,,
C53-宗人府 : P323-理事官,功,C12-大計 : P74-加級,加級,,,
C55-詹事府 : P329-少詹,功,C12-大計 : P74-加級,加級,,,
C55-詹事府 : P332-洗馬,功,C12-大計 : P74-加級,加級,,,
C56-翰林院 : P341-侍讀學士,功,C12-大計 : P74-加級,加級,,,
C56-翰林院 : P342-侍講學士,功,C12-大計 : P74-加級,加級,,,
C56-翰林院 : P351-孔目,功,C12-大計 : P74-加級,加級,,,
C57-內閣 : P354-內閣學士,良,C12-大計 : P74-加級,加級,,,
C57-內閣 : P355-侍讀學士,功,C12-大計 : P74-加級,加級,,,
C57-內閣 : P357-協辦侍讀,功,C12-大計 : P74-加級,加級,,,
C65-外員內調降用 : P416-按察內調,功,C12-大計 : P74-加級,加級,,,
C32-工部 : P191-左侍郎,良,C61-內廷 : P383-南書房,南書房,5,,
C33-刑部 : P198-尚書,良,C61-內廷 : P383-南書房,南書房,5,,
C33-刑部 : P199-左侍郎,良,C61-內廷 : P383-南書房,南書房,5,,
C35-禮部 : P213-尚書,功,C61-內廷 : P383-南書房,南書房,5,,
C36-戶部 : P223-尚書,功,C61-內廷 : P383-南書房,南書房,5,,
C37-吏部 : P231-尚書,良,C61-內廷 : P383-南書房,南書房,5,,
C35-禮部 : P216-郎中,良,C35-禮部 : P220-印局,印局,5,,
C35-禮部 : P217-員外,良,C35-禮部 : P220-印局,印局,5,,
C35-禮部 : P218-主事,良,C35-禮部 : P220-印局,印局,5,,
C36-戶部 : P228-主事,良,C30-倉場 : P182-各倉監督,各倉監督,5,,
C41-國子監 : P260-監丞,良,C30-倉場 : P182-各倉監督,各倉監督,5,,
C41-國子監 : P261-博士,良,C30-倉場 : P182-各倉監督,各倉監督,5,,
C45-太常寺 : P286-博士,良,C30-倉場 : P182-各倉監督,各倉監督,5,,
C46-大理寺 : P295-評事,良,C30-倉場 : P182-各倉監督,各倉監督,5,,
C47-通政司 : P299-經歷,良,C30-倉場 : P182-各倉監督,各倉監督,5,,
C47-通政司 : P300-知事,良,C30-倉場 : P182-各倉監督,各倉監督,5,,
C56-翰林院 : P346-編修,功,C59-兼銜 : P367-國史館,國史館,5,,
C36-戶部 : P226-郎中,良,C30-倉場 : P181-坐糧廳,坐糧廳,5,,
C36-戶部 : P227-員外,良,C30-倉場 : P181-坐糧廳,坐糧廳,5,,
C62-殿閣 : P389-武英馭大學士,功,C59-兼銜 : P364-大學士管部,大學士管部,5,,
C62-殿閣 : P391-體仁閣大學士,功,C59-兼銜 : P364-大學士管部,大學士管部,5,,
C4-鄉試 : P37-解元,良,C31-各部院 : P189-大挑舉人,大挑舉人,0,,
C4-鄉試 : P38-經魁,良,C31-各部院 : P189-大挑舉人,大挑舉人,0,,
C15-縣 : P92-京縣,柔,C12-大計 : P68-大計,大計,0,,
C15-縣 : P93-煩縣,柔,C12-大計 : P68-大計,大計,0,,
C15-縣 : P94-簡縣,柔,C12-大計 : P68-大計,大計,,,
C15-縣 : P96-縣丞,柔,C12-大計 : P68-大計,大計,,,
C15-縣 : P97-主簿,柔,C12-大計 : P68-大計,大計,,,
C15-縣 : P98-巡檢,柔,C12-大計 : P68-大計,大計,,,
C15-縣 : P99-典史,柔,C12-大計 : P68-大計,大計,,,
C16-州 : P103-知州,柔,C12-大計 : P68-大計,大計,,,
C16-州 : P104-州同,柔,C12-大計 : P68-大計,大計,,,
C16-州 : P105-州判,柔,C12-大計 : P68-大計,大計,,,
C16-州 : P106-吏目,柔,C12-大計 : P68-大計,大計,,,
C16-州 : P107-大使,柔,C12-大計 : P68-大計,大計,,,
C17-直隸州 : P109-知州,柔,C12-大計 : P68-大計,大計,,,
C17-直隸州 : P111-州判,柔,C12-大計 : P68-大計,大計,,,
C17-直隸州 : P112-吏目,柔,C12-大計 : P68-大計,大計,,,
C18-直隸廳 : P113-同知,柔,C12-大計 : P68-大計,大計,,,
C18-直隸廳 : P114-經歷,柔,C12-大計 : P68-大計,大計,,,
C18-直隸廳 : P115-司獄,柔,C12-大計 : P68-大計,大計,,,
C18-直隸廳 : P116-照磨,柔,C12-大計 : P68-大計,大計,,,
C19-外府 : P117-煩府,柔,C12-大計 : P68-大計,大計,,,
C19-外府 : P118-簡府,柔,C12-大計 : P68-大計,大計,,,
C19-外府 : P119-同知,柔,C12-大計 : P68-大計,大計,,,
C19-外府 : P120-通判,柔,C12-大計 : P68-大計,大計,,,
C19-外府 : P122-知事,柔,C12-大計 : P68-大計,大計,,,
C19-外府 : P123-司獄,柔,C12-大計 : P68-大計,大計,,,
C19-外府 : P124-照磨,柔,C12-大計 : P68-大計,大計,,,
C19-外府 : P125-大使,柔,C12-大計 : P68-大計,大計,,,
C21-各道 : P135-糧道,柔,C12-大計 : P68-大計,大計,,,
C21-各道 : P136-鹽道,柔,C12-大計 : P68-大計,大計,,,
C21-各道 : P137-巡道,柔,C12-大計 : P68-大計,大計,,,
C22-按察司 : P141-經歷,柔,C12-大計 : P68-大計,大計,,,
C22-按察司 : P142-知事,柔,C12-大計 : P68-大計,大計,,,
C22-按察司 : P143-照磨,柔,C12-大計 : P68-大計,大計,,,
C22-按察司 : P144-司獄,柔,C12-大計 : P68-大計,大計,,,
C23-布政司 : P147-經歷,柔,C12-大計 : P68-大計,大計,,,
C23-布政司 : P148-理問,柔,C12-大計 : P68-大計,大計,,,
C23-布政司 : P149-都事,柔,C12-大計 : P68-大計,大計,,,
C23-布政司 : P150-庫大使,柔,C12-大計 : P68-大計,大計,,,
C23-布政司 : P151-照磨,柔,C12-大計 : P68-大計,大計,,,
C55-詹事府 : P332-洗馬,柔,C12-大計 : P68-大計,大計,,,
C25-河院 : P161-河督,功,C60-宮銜 : P378-太子太保,太子太保,5,,
C28-督院 : P175-總督,功,C60-宮銜 : P378-太子太保,太子太保,5,,
C36-戶部 : P223-尚書,才,C60-宮銜 : P378-太子太保,太子太保,5,,
C37-吏部 : P231-尚書,功,C60-宮銜 : P377-太子太傅,太子太傅,10,,
C27-撫院 : P173-巡撫,功,C60-宮銜 : P381-太子少保,太子少保,,,
C26-漕院 : P171-漕督,功,C60-宮銜 : P380-太子少傅,太子少傅,,,
C30-倉場 : P180-總督,功,C60-宮銜 : P380-太子少傅,太子少傅,,,
C32-工部 : P190-尚書,才,C60-宮銜 : P380-太子少傅,太子少傅,,,
C33-刑部 : P198-尚書,才,C60-宮銜 : P380-太子少傅,太子少傅,,,
C34-兵部 : P206-尚書,才,C60-宮銜 : P379-太子少師,太子少師,,,
C35-禮部 : P213-尚書,才,C60-宮銜 : P379-太子少師,太子少師,,,
C41-國子監 : P258-祭酒,柔,C3-學院 : P22-學政,學政,5,,
C41-國子監 : P259-司業,良,C3-學院 : P22-學政,學政,5,,
C42-鴻臚寺 : P268-正卿,柔,C3-學院 : P22-學政,學政,5,,
C46-大理寺 : P292-正卿,柔,C3-學院 : P22-學政,學政,5,,
C47-通政司 : P296-通政使,柔,C3-學院 : P22-學政,學政,5,,
C55-詹事府 : P328-正詹,良,C3-學院 : P22-學政,學政,5,,
C55-詹事府 : P330-左庶子,良,C3-學院 : P22-學政,學政,5,,
C55-詹事府 : P331-右庶子,良,C3-學院 : P22-學政,學政,5,,
C55-詹事府 : P333-左中允,良,C3-學院 : P22-學政,學政,5,,
C55-詹事府 : P334-右中允,良,C3-學院 : P22-學政,學政,5,,
C56-翰林院 : P345-修撰,良,C3-學院 : P22-學政,學政,5,,
C57-內閣 : P354-內閣學士,柔,C3-學院 : P22-學政,學政,5,,
C56-翰林院 : P347-檢討,良,C59-兼銜 : P369-實錄館,實錄館,5,,
C36-戶部 : P226-郎中,功,C36-戶部 : P229-寶泉局,寶泉局,5,,
C36-戶部 : P228-主事,功,C36-戶部 : P229-寶泉局,寶泉局,5,,
C32-工部 : P193-郎中,良,C32-工部 : P196-寶源局,寶源局,5,,
C32-工部 : P194-員外,良,C32-工部 : P196-寶源局,寶源局,5,,
C32-工部 : P195-主事,良,C32-工部 : P196-寶源局,寶源局,5,,
C35-禮部 : P214-左侍郎,柔,C56-翰林院 : P340-掌院學士,掌院學士,5,,
C55-詹事府 : P328-正詹,功,C56-翰林院 : P340-掌院學士,掌院學士,5,,
C62-殿閣 : P388-文華殿大學士,才,C56-翰林院 : P340-掌院學士,掌院學士,5,,
C62-殿閣 : P390-文淵閣大學士,才,C56-翰林院 : P340-掌院學士,掌院學士,5,,
C33-刑部 : P201-郎中,良,C33-刑部 : P204-提牢廳,提牢廳,5,,
C33-刑部 : P202-員外,良,C33-刑部 : P204-提牢廳,提牢廳,5,,
C33-刑部 : P203-主事,良,C33-刑部 : P204-提牢廳,提牢廳,5,,
C15-縣 : P98-巡檢,良,C27-撫院 : P174-巡捕,撫巡捕,5,,
C15-縣 : P99-典史,良,C27-撫院 : P174-巡捕,撫巡捕,5,,
C16-州 : P106-吏目,良,C27-撫院 : P174-巡捕,撫巡捕,5,,
C18-直隸廳 : P115-司獄,良,C27-撫院 : P174-巡捕,撫巡捕,5,,
C18-直隸廳 : P116-照磨,良,C27-撫院 : P174-巡捕,撫巡捕,5,,
C19-外府 : P123-司獄,良,C27-撫院 : P174-巡捕,撫巡捕,5,,
C19-外府 : P124-照磨,良,C27-撫院 : P174-巡捕,撫巡捕,5,,
C19-外府 : P126-檢校,良,C27-撫院 : P174-巡捕,撫巡捕,5,,
C62-殿閣 : P388-文華殿大學士,功,C56-翰林院 : P339-教習庶吉士,教習庶吉士,5,,
C62-殿閣 : P390-文淵閣大學士,功,C56-翰林院 : P339-教習庶吉士,教習庶吉士,5,,
C56-翰林院 : P342-侍講學士,良,C59-兼銜 : P366-文淵閣校理,文淵閣校理,5,,
C57-內閣 : P357-協辦侍讀,良,C59-兼銜 : P366-文淵閣校理,文淵閣校理,5,,
C56-翰林院 : P347-檢討,功,C59-兼銜 : P368-方略館,方略館,5,,
C57-內閣 : P357-協辦侍讀,柔,C59-兼銜 : P368-方略館,方略館,5,,
C32-工部 : P195-主事,柔,C5-會試 : P42-同考,會試同考,5,,repaired
C33-刑部 : P202-員外,柔,C5-會試 : P42-同考,會試同考,5,,
C34-兵部 : P210-員外,良,C5-會試 : P42-同考,會試同考,5,,
C34-兵部 : P211-主事,柔,C5-會試 : P42-同考,會試同考,5,,
C35-禮部 : P218-主事,柔,C5-會試 : P42-同考,會試同考,5,,
C55-詹事府 : P335-左贊善,良,C5-會試 : P42-同考,會試同考,5,,
C55-詹事府 : P336-右贊善,良,C5-會試 : P42-同考,會試同考,5,,
C57-內閣 : P356-侍讀,柔,C5-會試 : P42-同考,會試同考,5,,
C57-內閣 : P359-中書,柔,C5-會試 : P42-同考,會試同考,5,,
C32-工部 : P191-左侍郎,柔,C5-會試 : P41-總裁,會試總裁,5,,
C34-兵部 : P206-尚書,良,C5-會試 : P41-總裁,會試總裁,5,,
C35-禮部 : P213-尚書,良,C5-會試 : P41-總裁,會試總裁,5,,
C37-吏部 : P231-尚書,柔,C5-會試 : P41-總裁,會試總裁,5,,
C37-吏部 : P232-左侍郎,柔,C5-會試 : P41-總裁,會試總裁,5,,
C35-禮部 : P214-左侍郎,功,C35-禮部 : P219-樂部,樂部,5,,
C35-禮部 : P215-右侍郎,功,C35-禮部 : P219-樂部,樂部,5,,
C32-工部 : P190-尚書,柔,C58-欽差 : P360-欽差大臣,欽差大臣,5,,
C35-禮部 : P215-右侍郎,良,C58-欽差 : P360-欽差大臣,欽差大臣,5,,
C50-都察院 : P308-左副都御史,良,C58-欽差 : P360-欽差大臣,欽差大臣,5,,
C51-理藩院 : P314/5-左右侍郎,功,C58-欽差 : P360-欽差大臣,欽差大臣,5,,
C56-翰林院 : P343-侍讀,良,C59-兼銜 : P365-武英殿總分校,武英殿總分校,5,,
C62-殿閣 : P388-文華殿大學士,柔,C64-特恩 : P410-珍賞,珍賞,20,,
C62-殿閣 : P388-文華殿大學士,良,C64-特恩 : P410-珍賞,珍賞,20,,
C62-殿閣 : P389-武英馭大學士,柔,C64-特恩 : P410-珍賞,珍賞,20,,
C62-殿閣 : P389-武英馭大學士,良,C64-特恩 : P410-珍賞,珍賞,20,,
C62-殿閣 : P390-文淵閣大學士,柔,C64-特恩 : P410-珍賞,珍賞,20,,
C62-殿閣 : P390-文淵閣大學士,良,C64-特恩 : P410-珍賞,珍賞,20,,
C62-殿閣 : P391-體仁閣大學士,柔,C64-特恩 : P410-珍賞,珍賞,20,,
C62-殿閣 : P391-體仁閣大學士,良,C64-特恩 : P410-珍賞,珍賞,20,,
C40-欽天監 : P247-監正,德,C40-欽天監 : P247-監正,監正加級,,,
C40-欽天監 : P247-監正,才,C40-欽天監 : P247-監正,監正加級,,,
C20-京府 : P127-府尹,柔,C4-鄉試 : P36-監臨,監臨,5,,
C27-撫院 : P173-巡撫,柔,C4-鄉試 : P36-監臨,監臨,5,,
C15-縣 : P97-主簿,良,C28-督院 : P176-巡捕,督巡捕,5,,
C17-直隸州 : P112-吏目,良,C28-督院 : P176-巡捕,督巡捕,5,,
C18-直隸廳 : P114-經歷,良,C28-督院 : P176-巡捕,督巡捕,5,,
C19-外府 : P121-經歷,柔,C28-督院 : P176-巡捕,督巡捕,5,,
C19-外府 : P122-知事,良,C28-督院 : P176-巡捕,督巡捕,5,,
C19-外府 : P125-大使,良,C28-督院 : P176-巡捕,督巡捕,5,,
C35-禮部 : P214-左侍郎,良,C5-會試 : P43-知貢舉,知貢舉,5,,
C37-吏部 : P233-右侍郎,柔,C5-會試 : P43-知貢舉,知貢舉,5,,
C17-直隸州 : P109-知州,良,C12-大計 : P75-紀錄,紀錄,,,
C18-直隸廳 : P113-同知,良,C12-大計 : P75-紀錄,紀錄,,,
C19-外府 : P117-煩府,良,C12-大計 : P75-紀錄,紀錄,,,
C19-外府 : P118-簡府,良,C12-大計 : P75-紀錄,紀錄,,,
C20-京府 : P128-府丞,良,C12-大計 : P75-紀錄,紀錄,,,
C20-京府 : P129-治中,良,C12-大計 : P75-紀錄,紀錄,,,
C20-京府 : P130-四路同知,良,C12-大計 : P75-紀錄,紀錄,,,
C20-京府 : P131-通判,良,C12-大計 : P75-紀錄,紀錄,,,
C20-京府 : P132-經歷,柔,C12-大計 : P75-紀錄,紀錄,,,
C20-京府 : P133-照磨,柔,C12-大計 : P75-紀錄,紀錄,,,
C21-各道 : P135-糧道,良,C12-大計 : P75-紀錄,紀錄,,,
C21-各道 : P136-鹽道,良,C12-大計 : P75-紀錄,紀錄,,,
C21-各道 : P137-巡道,良,C12-大計 : P75-紀錄,紀錄,,,
C22-按察司 : P140-按察使,良,C12-大計 : P75-紀錄,紀錄,,,
C22-按察司 : P142-知事,良,C12-大計 : P75-紀錄,紀錄,,,
C22-按察司 : P144-司獄,良,C12-大計 : P75-紀錄,紀錄,,,
C23-布政司 : P146-布政使,良,C12-大計 : P75-紀錄,紀錄,,,
C23-布政司 : P147-經歷,良,C12-大計 : P75-紀錄,紀錄,,,
C24-鹽院 : P153-運使,良,C12-大計 : P75-紀錄,紀錄,,,
C24-鹽院 : P154-運同,良,C12-大計 : P75-紀錄,紀錄,,,
C24-鹽院 : P155-運副,良,C12-大計 : P75-紀錄,紀錄,,,
C24-鹽院 : P156-提舉,良,C12-大計 : P75-紀錄,紀錄,,,
C24-鹽院 : P160-知事,良,C12-大計 : P75-紀錄,紀錄,,,
C25-河院 : P162-河道,良,C12-大計 : P75-紀錄,紀錄,,,
C25-河院 : P163-同知,良,C12-大計 : P75-紀錄,紀錄,,,
C31-各部院 : P185-八品筆帖式,良,C12-大計 : P75-紀錄,紀錄,,,
C31-各部院 : P186-九品筆帖式,良,C12-大計 : P75-紀錄,紀錄,,,
C31-各部院 : P187-七品小京官,良,C12-大計 : P75-紀錄,紀錄,,,
C31-各部院 : P188-各部司務,良,C12-大計 : P75-紀錄,紀錄,,,
C33-刑部 : P205-司獄,良,C12-大計 : P75-紀錄,紀錄,,,
C35-禮部 : P222-儒士,柔,C12-大計 : P75-紀錄,紀錄,,,
C37-吏部 : P234-郎中,良,C12-大計 : P75-紀錄,紀錄,,,
C37-吏部 : P235-員外,良,C12-大計 : P75-紀錄,紀錄,,,
C37-吏部 : P236-主事,良,C12-大計 : P75-紀錄,紀錄,,,
C38-鑾儀衛 : P239-主事,良,C12-大計 : P75-紀錄,紀錄,,,
C39-太醫院 : P241-院使,功,C12-大計 : P75-紀錄,紀錄,,,
C39-太醫院 : P242-院判,良,C12-大計 : P75-紀錄,紀錄,,,
C39-太醫院 : P243-御醫,良,C12-大計 : P75-紀錄,紀錄,,,
C39-太醫院 : P244-八品吏目,良,C12-大計 : P75-紀錄,紀錄,,,
C39-太醫院 : P245-九品吏目,良,C12-大計 : P75-紀錄,紀錄,,,
C3-學院 : P23-教授,良,C12-大計 : P75-紀錄,紀錄,0,,
C40-欽天監 : P247-監正,功,C12-大計 : P75-紀錄,紀錄,,,
C40-欽天監 : P250-靈臺郎,良,C12-大計 : P75-紀錄,紀錄,,,
