SourceID,Source,Dice,TargetID,Target,pool,player,Remarks
C60-宮銜 : P373-少師,少師,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P373-少師,少師,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P373-少師,少師,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P373-少師,少師,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P373-少師,少師,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P374-少傅,少傅,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P374-少傅,少傅,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P374-少傅,少傅,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P374-少傅,少傅,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P374-少傅,少傅,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P374-少傅,少傅,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P375-少保,少保,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P375-少保,少保,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P375-少保,少保,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P375-少保,少保,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P375-少保,少保,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P375-少保,少保,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P376-太子太師,太子太師,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P376-太子太師,太子太師,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P376-太子太師,太子太師,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P376-太子太師,太子太師,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P376-太子太師,太子太師,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P376-太子太師,太子太師,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P377-太子太傅,太子太傅,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P377-太子太傅,太子太傅,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P377-太子太傅,太子太傅,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P377-太子太傅,太子太傅,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P377-太子太傅,太子太傅,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P377-太子太傅,太子太傅,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P378-太子太保,太子太保,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P378-太子太保,太子太保,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P378-太子太保,太子太保,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P378-太子太保,太子太保,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P378-太子太保,太子太保,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P378-太子太保,太子太保,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P379-太子少師,太子少師,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P379-太子少師,太子少師,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P379-太子少師,太子少師,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P379-太子少師,太子少師,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P379-太子少師,太子少師,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P379-太子少師,太子少師,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P380-太子少傅,太子少傅,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P380-太子少傅,太子少傅,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P380-太子少傅,太子少傅,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P380-太子少傅,太子少傅,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P380-太子少傅,太子少傅,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P380-太子少傅,太子少傅,全色6,C63-封典 : P393-公爵,公爵,100,10,
C60-宮銜 : P381-太子少保,太子少保,全色1,C63-封典 : P397-男爵,男爵,50,10,
C60-宮銜 : P381-太子少保,太子少保,全色2,C63-封典 : P396-子爵,子爵,50,10,
C60-宮銜 : P381-太子少保,太子少保,全色3,C63-封典 : P395-伯爵,伯爵,70,10,
C60-宮銜 : P381-太子少保,太子少保,全色4,C63-封典 : P392-王爵,王爵,120,10,
C60-宮銜 : P381-太子少保,太子少保,全色5,C63-封典 : P394-侯爵,侯爵,100,10,
C60-宮銜 : P381-太子少保,太子少保,全色6,C63-封典 : P393-公爵,公爵,100,10,
C63-封典 : P393-公爵,公爵,穿花,C63-封典 : P392-王爵,王爵,120,10,
C63-封典 : P394-侯爵,侯爵,穿花,C63-封典 : P393-公爵,公爵,100,10,
C63-封典 : P395-伯爵,伯爵,穿花,C63-封典 : P394-侯爵,侯爵,100,10,
C63-封典 : P396-子爵,子爵,穿花,C63-封典 : P395-伯爵,伯爵,70,10,
C63-封典 : P397-男爵,男爵,穿花,C63-封典 : P396-子爵,子爵,50,10,
C9-軍功 : P58-一品二品,一品二品軍功,穿花,C9-軍功 : P61-巴圖鲁,巴圖鲁,20,0,
C9-軍功 : P59-三品至五品,三品至五品軍功,穿花,C9-軍功 : P61-巴圖鲁,巴圖鲁,20,0,
C9-軍功 : P60-六品以下,六品以下軍功,穿花,C9-軍功 : P62-藍翎,藍翎,10,0,
