SourceID,Dice,TargetID,pool,player ,Remarks
C14-捐班候補 : P88-候補縣,穿花,C15-縣 : P93-煩縣,0,0,
C14-捐班候補 : P89-候補京官佐雜,穿花,C31-各部院 : P188-各部司務,0,0,補實
C14-捐班候補 : P90-候補外官佐雜,穿花,C25-河院 : P167-縣丞,0,0,補實
C15-縣 : P99-典史,二德,C15-縣 : P93-煩縣,0,0,
C19-外府 : P117-煩府,紅二對,C24-鹽院 : P153-運使,0,0,
C19-外府 : P118-簡府,紅二對,C24-鹽院 : P153-運使,0,0,
C1-出身 : P10-生員,穿花,C7-曠典 : P55-生員召試,0,0,
C1-出身 : P10-生員,紅二對,C4-鄉試 : P37-解元,0,0,
C1-出身 : P11-監生,穿花,C7-曠典 : P55-監生召試,0,0,
C1-出身 : P11-監生,紅二對,C4-鄉試 : P37-解元,0,0,
C1-出身 : P12-官學生,穿花,C31-各部院 : P186-九品筆帖式,0,0,
C1-出身 : P13-供事,穿花,C19-外府 : P122-知事,0,0,
C1-出身 : P14-吏員,穿花,C22-按察司 : P144-司獄,0,0,
C1-出身 : P15-童生,穿花,C1-出身 : P10-生員,0,0,
C1-出身 : P1-蔭生,穿花,C34-兵部 : P211-主事,0,0,
C1-出身 : P2-軍功,穿花,C15-縣 : P96-縣丞,0,0,
C1-出身 : P3-貢生,穿花,C7-曠典 : P55-生員召試,0,0,
C1-出身 : P4-恩賞,穿花,C33-刑部 : P202-員外,0,0,
C1-出身 : P5-保舉,穿花,C15-縣 : P94-簡縣,0,0,
C1-出身 : P6-詞科,穿花,C54-中書科 : P327-中書,0,0,
C1-出身 : P7-筆帖式,穿花,C31-各部院 : P185-八品筆帖式,0,0,
C1-出身 : P8-天文生,穿花,C40-欽天監 : P255-五官司書,0,0,
C1-出身 : P9-醫士,穿花,C39-太醫院 : P246-醫士,0,0,
C22-按察司 : P140-按察使,紅二對,C33-刑部 : P200-右侍郎,0,0,
C25-河院 : P162-河道,二德,C25-河院 : P161-河督,0,0,
C25-河院 : P163-同知,紅二對,C25-河院 : P162-河道,0,0,
C3-學院 : P27-拔貢,穿花,C4-鄉試 : P37-解元,0,0,
C3-學院 : P32-增生,紅二對,C4-鄉試 : P37-解元,0,0,
C40-欽天監 : P253-挈壺,紅二對,C40-欽天監 : P247-監正,0,0,
C41-國子監 : P258-祭酒,紅二對,C57-內閣 : P354-內閣學士,0,0,
C41-國子監 : P267-官學教習,穿花,C57-內閣 : P359-中書,0,0,
C4-鄉試 : P39-舉人,穿花,C7-曠典 : P54-舉人召試,0,0,
C4-鄉試 : P39-舉人,紅二對,C5-會試 : P44-會元,0,0,
C4-鄉試 : P39-舉人,素二對,C7-曠典 : P53-鴻博,0,0,
C52-內務府 : P319-總管,穿花,C53-宗人府 : P322-宗丞,0,0,
C56-翰林院 : P346-編修,紅二對,C50-都察院 : P309-監察御史,0,0,
C56-翰林院 : P347-檢討,紅二對,C50-都察院 : P309-監察御史,0,0,
C5-會試 : P44-會元,穿花,C6-殿試 : P47-狀元,0,20,
C5-會試 : P44-會元,素二對,C7-曠典 : P53-鴻博,0,0,
C5-會試 : P45-會魁,穿花,C6-殿試 : P47-狀元,0,20,
C5-會試 : P45-會魁,紅二對,C6-殿試 : P47-狀元,0,20,
C5-會試 : P45-會魁,素二對,C7-曠典 : P53-鴻博,0,0,
C5-會試 : P46-進士,穿花,C6-殿試 : P47-狀元,0,20,
C5-會試 : P46-進士,紅二對,C6-殿試 : P47-狀元,0,20,
C5-會試 : P46-進士,素二對,C7-曠典 : P53-鴻博,0,0,
C6-殿試 : P50-傳臚,穿花,C56-翰林院 : P348-庶吉士,0,0,
C6-殿試 : P51-二甲,穿花,C56-翰林院 : P348-庶吉士,0,0,
C6-殿試 : P52-三甲,穿花,C31-各部院 : P183-額外主事,0,0,
C7-曠典 : P53-鴻博,穿花,C34-兵部 : P211-主事,0,0,
C7-曠典 : P54-舉人召試,穿花,C54-中書科 : P327-中書,0,0,
C7-曠典 : P55-生員召試,穿花,C54-中書科 : P327-中書,0,0,
C7-曠典 : P55-監生召試,穿花,C54-中書科 : P327-中書,0,0,
C8-各館謄錄 : P56-舉人謄錄,穿花,C15-縣 : P95-揀發知縣,0,0,
C8-各館謄錄 : P57-生監謄錄,穿花,C16-州 : P105-州判,0,0,
